,Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,size,founded,type,industry,sector,revenue
0,Junior Data Scientist,Talentheed Inc,Remote,"$100,000 /yr (est.)",-1,"Responsibilities:
Work with stakeholders to determine how to use business data for valuable business solutions.
Search for ways to get new data sources and assess their accuracy.
Browse and analyze enterprise databases to simplify and improve product development, marketing techniques, and business processes.
Create custom data models and algorithms.
Use predictive models to improve customer experience, ad targeting, revenue generation, and more.
Develop the organization’s test model quality and A/B testing framework.
Coordinate with various technical/functional teams to implement models and monitor results.",-1,-1,-1,-1,-1,-1
1,Mgr Data Science,South West,"Dallas, TX","$103,267 /yr (est.)",4.2,"Department: Business Transformation

Our Company Promise

We are committed to provide our Employees a stable work environment with equal opportunity for learning and personal growth. Creativity and innovation are encouraged for improving the effectiveness of Southwest Airlines. Above all, Employees will be provided the same concern, respect, and caring attitude within the organization that they are expected to share externally with every Southwest Customer.

Job Description:
Job Summary
Manages Performance and Work initiatives of a Team of 4-6 professional employees, typically focusing on 50% Leadership and 50% Management. Sets strategy for Team in support of Departmental strategy. Applies knowledge of unique and non-repetitive type work. Contributes to projects and cross functional initiatives; identifies talent and builds bench. A Manager of Data Science in Southwest Airlines' Corporate Strategy Department serves as a leader of the data science practice, responsible for a Team of data scientists, data engineering consultants, and advisors tasked with creating innovative data science solutions and integrated data assets across the Company as well as developing and maturing the discipline of data science so that it is a competitive advantage for the Company.
Responsibilities
Develops and effectively communicates a vision for the Data Science Center and community, long-term and near-term plans necessary to meet the vision, and a roadmap necessary to execute long-term and near-term plans
Effectively coordinates and manages the Team in alignment with overall plans
Effectively manages skills and training necessary to execute on long-term and near-term plans
Identifies and evaluates the most important opportunities and issues across the enterprise to be addressed through data science and works with leadership to manage those opportunities
Serves as leader, advisor, or mentor on multiple, highly complex data science programs, working with business Customers to understand contextual problems quickly and define, analyze, and deliver innovative solutions based on business objectives
Recognized as a subject matter expert on data science methodologies and tools
Leads others on the application of mathematics, statistic, and/or advanced modeling methods to discover and gain insights on business problems; create, monitor, and manage entities; and/or develop predictive or prescriptive capabilities in creative ways
Advises with functional, senior, and executive leaders across multiple and concurrent projects
Leads the formulation of solutions and communicates those solutions and options for highly complex problems
Leads the creation and communication of results from highly complex data analysis and models
Leads the Team's efforts to manage the ongoing effectiveness of a network of models in use by business Customer
Must be able to meet any physical ability requirements listed on this description
May perform other job duties as directed by Employee's Leaders
Knowledge, Skills and Abilities
Develop People
Demonstrates self-confidence in crucial conversations that result in positive action or change
Provides direction, when needed, without micromanaging; allows opportunity to learn from mistakes
Asks questions to challenge Employees assumptions, elicit new insights, raise self-awareness, and gain learning
Shows the Employee where habits are holding them back and supports any change necessary
Looks for and develops talent, proactively; able to replace people in key positions across functional area
Maintains transparency by ensuring high potential individuals know where they are on the succession plan
Think Strategically
Anticipates changing circumstances, unexpected constraints or challenges
Develops ideas, processes, and approaches to meet future priorities
Makes time sensitive decisions to move work forward; takes responsible risks to achieve goals
Predicts operational implications of strategy; looks beyond solutions that are merely expedient
Translates objectives into well-defined strategies, plans, priorities, and assignments for functional area
Ensures that Teams goals and practices are consistent with the objective
Build Great Teams
Acts with courage and consistency when demonstrating Southwest values, even when it might be unpopular or inconvenient to do so
Fosters an environment that promotes rapid identification of ethical dilemmas within Team; takes appropriate action
Invites feedback; provides opportunities to engage in open dialogue on key topics
Encourages open dialogue; empowers Team Members to share varying perspectives
Solicits different points of view and leverages diverse perspectives
Sets the expectation and standard of an inclusive environment; swiftly addresses problem areas
Proficient - Inductive and deductive reasoning and problem solving approaches
Proficient - Data integration methodologies and tools
Proficient - Technology platforms and architectures applicable to developing a maintaining self-service data assets
Proficient - Business intelligence tools such as Business Objects, Tableau, QlikView
Proficient - Leading multiple, highly complex data science and/or data integration programs including developing and articulating a coherent vision and roadmap to achieve that vision
Proficient - Identifying and articulating important tends and opportunities for the enterprise to be addressed by data science and data engineering programs
Education
High School Diploma or GED
Bachelor's Degree in Analytics, Applied Mathematics, Business, Computer Science, Economics, Engineering, Information Systems, Math, Science, or Statistics or related field; or equivalent formal training
Advanced Degree in Analytics, Applied Mathematics, Business, Computer Science, Economics, Engineering, Information Systems, Math, Science, or Statistics
Experience
5 Years Advanced analytics, data, or data science project experience
2 Years Experience managing people and/or equivalent informal leadership
5 Years data science and/or relevant programming experience
5 Years visualization and presentation experience
Airline experience
Licensing/Certification
Data science certification preferred
Physical Abilities
Ability to perform work duties from [limited space work station/desk/office area] for extended periods of time
Ability to communicate and interact with others in the English language to meet the demands of the job
Ability to use a computer and other office productivity tools with sufficient speed and accuracy to meet the demands of the job
Other Qualifications
Must maintain a well-groomed appearance per Company appearance standards as described in established guidelines
Must be a U.S. citizen or have authorization to work in the United States as defined by the Immigration Reform Act of 1986
Must be at least 18 years of age
Must be able to comply with Company attendance standards as described in established guidelines
Must be able to travel up to 15% of the time, as determined by leader and project needs
Must be able to work extended hours, as determined by leader and project needs
Must be comfortable with ambiguity and achieve productivity in an unstructured environment through thoughtful question-asking, self-structuring, creative ingenuity, and self-management

Southwest Airlines is an Equal Opportunity Employer.
Please print/save this job description because it won't be available after you apply.",10000+ Employees,1967,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD)
2,Junior Data Analyst,Human Exponent Inc.,Remote,"$103,267 /yr (est.)",5.0,"We are seeking a highly motivated analyst to join our Client’s cross-commodities research business providing clarity on the fuel market economy in a time of unprecedented uncertainty in the energy markets. Demonstrating passion and curiosity, you will be excited by the responsibility of developing industry-leading data and analysis to drive insight into fuel fundamentals and their impact on World's energy markets, supporting decision making in an increasingly important sector.
If you have:
APPLY HERE: https://www.gyfted.me/job-offer/gyfted-junior_data_analyst
Higher education in a numerical subject (data science, econometrics, physics, industrial mathematics, computer science/artificial statistics, applied physics, economic, meteorology, engineering ) or demonstration of practical experience in a role where there was a quantitative focus
Strong analytical and quantitative skills",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
3,Gcp data engineer,Infinity Quest,Remote,$100.00 /hr (est.),4.3,"Hello ,
Good day,
Infinity Quest is seeking an opportunity GCP Engineer with a client located in Irvine, CA (Remote).
We hope this Job meets your skills and expectations. If you are available and interested, please contact me at your earliest convenience. You will be working with a highly skilled team of IT Professionals in a high pace corporate environment. This opportunity will move quickly and candidates will be interviewed in the order they apply.
Role: GCP Engineer
Location: Irvine, CA (Remote)",201 to 500 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
4,Data Scientist - Personalization,Audible,"Newark, NJ","$85,503 /yr (est.)",4.0,"Job summary
Good storytelling starts with great listening. At Audible, that means each role and every project has our audience in mind. Because the same people who design, develop, and deploy our products also happen to use them. To us, that speaks volumes.

ABOUT THE ROLE
Hey – there’s a revolution going on! A revolution in digital entertainment. Every day millions of people around the world choose to be more thoughtfully entertained, informed and educated by listening to fascinating stories and all forms of fictional and non-fictional content. Want to shape the future of this innovation through statistics and machine learning? If so, this may be a great fit for you!

As Data Scientist - Personalization, you will make the best of your skillset in predictive modeling to explain, quantify, predict and prescribe in support of informing critical business decisions. You will translate business goals into agile, insightful analytics. You will seek to create value for both stakeholders and customers, and will inform findings in a clear, actionable way to managers and senior leaders.

ABOUT THE TEAM
The Audible Data Science Team partners with marketing, content, product, and technology partners to solve business and technology problems using scientific approaches to build product and services that surprise and delight our customers. We employ scalable cutting-edge machine learning (ML), deep learning (DL), and Natural Language Processing (NLP) knowledge to better target customers and prospects, understand and personalize the content, and context needed to optimize their book-listening experience. We operate in an agile environment in which we own and collaborate on the life cycle of research, design, and model development of relevant projects.

We are looking for motivated, results-oriented Data Scientist with strong rigor and demonstrable skills in Machine Learning, Deep Learning, Natural Language Processing, data mining and/or large-scale distributed computation.

As a Data Scientist - Personalization, you will...

Basic Qualifications

Preferred Qualifications

ABOUT AUDIBLE
At Audible, we innovate and inspire through the power of voice. We're changing the narrative on storytelling. As a leading creator and provider of premium audio storytelling, we've redefined the ways people access, discover, and share stories. The stories we tell have the ability to transport and transform everyday moments into meaningful experiences and it's our people who make Audible's service possible. We're listeners, storytellers, and problem-solvers. Our perspectives and experiences power our ideas and come together in our mission to unleash the power of the spoken word. Audible offers a Hub+Home hybrid workplace model that gives employees flexibility between gathering in a common office space (work from hub) and remote work (work from home). Some teams will work mostly at hub, some mostly at home and others hybrid. For more information, please visit adbl.co/hybrid.

Audible is committed to a diverse and inclusive workplace. Audible is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",1001 to 5000 Employees,1995,Subsidiary or Business Segment,Film Production,Media & Communication,Unknown / Non-Applicable
5,Jr. Data Analyst,PepsiCo,"Chicago, IL","$57,332 /yr (est.)",3.9,"This position can be located in Plano, Texas - Purchase, New York, - Chicago, Illinois
Job Description
As a Data Analyst, you will be the key domain expert overseeing PepsiCo's business process and drive a strong discussion for how Supply Chain, Financial, Consumer, Channel, Category business needs to be defined and prioritize by working very closely with business leads, data science team and data engineering team. You'll develop an in-depth understanding of business processes in and translate business requirements to data engineering team in technical way.
Accountabilities:
Discover, analyze, and scope data requirements & representing them in conceptual and logical data models",10000+ Employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
6,Data Scientist,IV IT Solutions,Remote,$82.50 /hr (est.),5.0,"Hello,
Hope you are doing great!
This is james from IV IT Solutions.We've immediate requirements for the following position. If you are interested, Please reply back or reach me on (571)-748-4811
Job Title: Data Scientist
Location: 100% Remote
Duration: 12+ Months
Client Expectation:
Strong Python coding (Mandatory)
good understanding of data and statistics",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
7,Data Science Assistant,United Nations,"New York, NY","$88,585 /yr (est.)",4.0,"This position is located in the Analytics Section of the Analytics and Project Management Service of the Business Transformation and Accountability Division (BTAD) in the Department of Management Strategy, Policy and Compliance (DMSPC). The incumbent reports to a Data Scientist.

For more information, please visit https://www.un.org/management/content/our-offices.
Responsibilities
Within delegated authority, the Data Science Assistant will be responsible for the following duties:

Assists with the preparation of input for response to requests for exploration, identification, and acquisition of data sources to determine their suitability for use in decision making and advancing the goals of the organization.
Competencies



Education
Work Experience








Languages
Assessment
Special Notice






United Nations Considerations










No Fee",10000+ Employees,1945,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
8,Data Annotator,Skit.ai,"New York, NY","$46,817 /yr (est.)",4.5,"About us
Skit (previously known as Vernacular.ai) is an AI-first SaaS voice automation company. Its suite of speech and language solutions enable enterprises to automate their contact centre operations. With over 10 million hours of training data, its product - Vernacular Intelligent Voice Assistant (VIVA) can currently respond in 16+ languages, covering over 160+ dialects and replicating human-like conversations.

Skit currently serves a variety of enterprise clients across diverse sectors such as BFSI, F&B, Hospitality, Consumer Electronics and Travel & Tourism, including prominent clients like Axis Bank, Hathway, Porter and Barbeque Nation. It has been featured as one of the top-notch start-ups in the Cisco Launchpad’s Cohort 6 and is a part of the World Economic Forum’s Global Innovators Community. It has has also been listed in Forbes 30 Under 30 Asia start-ups 2021 for its remarkable industry innovation.",51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
9,Data Science and Signal Engineer I,Medtronic,"Northridge, CA","$46,817 /yr (est.)",4.1,"Careers that Change Lives
Engineers create our market-leading portfolio of innovations. Combine the best of your experience with training and mentorship to move forward. If you want a challenging, energizing, rewarding career that changes lives, join us. Help us bring the next generation of life-changing medical technology to patients worldwide.

A Day in the Life
We are looking for an enthusiastic individual with strong analytical skills to join our algorithm development and data analytics team at Medtronic Diabetes (Northridge, CA). The position involves the support of research and development of medical devices related to continuous glucose monitors. The individual will work with members of research staff to improve the performance of continuous glucose sensors through the application of machine learning, analytics, signal processing and mathematical modeling and experimentation. The role will involve all aspects of the research process, including data processing, analysis, theory development and validation.",10000+ Employees,1949,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
